ZIP,COUNTY,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
00501,36103,HOLTSVILLE,NY,0.000000000,1.000000000,0.000000000,1.000000000
00601,72081,ADJUNTAS,PR,0.002548853,0.005050505,0.012048193,0.002947107
00601,72001,ADJUNTAS,PR,0.997451147,0.994949495,0.987951807,0.997052893
00602,72117,AGUADA,PR,0.000583722,0.000000000,0.000000000,0.000529501
00602,72005,AGUADA,PR,0.000000000,0.001016260,0.000000000,0.000075643
00602,72003,AGUADA,PR,0.999416278,0.998983740,1.000000000,0.999394856
00603,72099,AGUADILLA,PR,0.000647983,0.000887311,0.000000000,0.000641849
00603,72005,AGUADILLA,PR,0.998488039,0.998225377,1.000000000,0.998518811
00603,72071,AGUADILLA,PR,0.000863978,0.000887311,0.000000000,0.000839340
00604,72005,AGUADILLA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00605,72005,AGUADILLA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00606,72093,MARICAO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00610,72011,ANASCO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00611,72141,ANGELES,PR,1.000000000,1.000000000,1.000000000,1.000000000
00612,72065,ARECIBO,PR,0.006722689,0.000000000,0.000000000,0.005925487
00612,72013,ARECIBO,PR,0.990336134,1.000000000,0.998544396,0.991445078
00612,72017,ARECIBO,PR,0.001176471,0.000000000,0.000000000,0.001036960
00612,72054,ARECIBO,PR,0.001554622,0.000000000,0.000000000,0.001370269
00612,72141,ARECIBO,PR,0.000210084,0.000000000,0.001455604,0.000222206
00613,72013,ARECIBO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00614,72013,ARECIBO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00616,72013,BAJADERO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00617,72091,BARCELONETA,PR,0.000728797,0.000000000,0.000000000,0.000680099
00617,72017,BARCELONETA,PR,0.998997905,1.000000000,1.000000000,0.999064864
00617,72054,BARCELONETA,PR,0.000273299,0.000000000,0.000000000,0.000255037
00622,72023,BOQUERON,PR,1.000000000,1.000000000,1.000000000,1.000000000
00623,72023,CABO ROJO,PR,0.998667090,0.998920086,1.000000000,0.998696682
00623,72097,CABO ROJO,PR,0.001332910,0.001079914,0.000000000,0.001303318
00624,72111,PENUELAS,PR,0.998942359,0.979643766,1.000000000,0.997999500
00624,72113,PENUELAS,PR,0.001057641,0.000000000,0.000000000,0.001000250
00624,72059,PENUELAS,PR,0.000000000,0.020356234,0.000000000,0.001000250
00627,72027,CAMUY,PR,1.000000000,1.000000000,1.000000000,1.000000000
00631,72081,CASTANER,PR,0.000000000,0.000000000,1.000000000,1.000000000
00637,72121,SABANA GRANDE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00638,72107,CIALES,PR,0.318391158,0.189542484,0.017543860,0.310164316
00638,72039,CIALES,PR,0.681608842,0.810457516,0.982456140,0.689835684
00641,72113,UTUADO,PR,0.003923936,0.000000000,0.000000000,0.003622515
00641,72141,UTUADO,PR,0.996076064,1.000000000,1.000000000,0.996377485
00646,72051,DORADO,PR,0.995260352,0.990721649,1.000000000,0.995034331
00646,72137,DORADO,PR,0.000921598,0.005154639,0.000000000,0.001164787
00646,72135,DORADO,PR,0.000855770,0.001030928,0.000000000,0.000858264
00646,72143,DORADO,PR,0.002962280,0.003092784,0.000000000,0.002942619
00647,72055,ENSENADA,PR,0.995995423,1.000000000,1.000000000,0.996121884
00647,72121,ENSENADA,PR,0.004004577,0.000000000,0.000000000,0.003878116
00650,72013,FLORIDA,PR,0.001079525,0.000000000,0.000000000,0.001044386
00650,72054,FLORIDA,PR,0.998920475,1.000000000,1.000000000,0.998955614
00652,72013,GARROCHALES,PR,1.000000000,1.000000000,1.000000000,1.000000000
00653,72055,GUANICA,PR,0.996645984,1.000000000,1.000000000,0.996838445
00653,72153,GUANICA,PR,0.003354016,0.000000000,0.000000000,0.003161555
00656,72059,GUAYANILLA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00659,72013,HATILLO,PR,0.012216405,0.002409639,0.000000000,0.011468596
00659,72065,HATILLO,PR,0.987783595,0.997590361,1.000000000,0.988531404
00660,72097,HORMIGUEROS,PR,0.000556793,0.000000000,0.000000000,0.000525210
00660,72067,HORMIGUEROS,PR,0.999443207,1.000000000,1.000000000,0.999474790
00662,72099,ISABELA,PR,0.008946624,0.005120702,0.000000000,0.008588499
00662,72071,ISABELA,PR,0.988980995,0.991953182,1.000000000,0.989311053
00662,72115,ISABELA,PR,0.000859280,0.000000000,0.000000000,0.000793503
00662,72005,ISABELA,PR,0.001213101,0.002926116,0.000000000,0.001306945
00664,72073,JAYUYA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00667,72079,LAJAS,PR,0.998997661,0.997679814,1.000000000,0.998945370
00667,72121,LAJAS,PR,0.001002339,0.002320186,0.000000000,0.001054630
00669,72081,LARES,PR,1.000000000,1.000000000,1.000000000,1.000000000
00670,72083,LAS MARIAS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00674,72101,MANATI,PR,0.011306244,0.002876870,0.000000000,0.010363758
00674,72091,MANATI,PR,0.973542241,0.972382048,0.969604863,0.973372326
00674,72145,MANATI,PR,0.014520202,0.024741082,0.030395137,0.015699554
00674,72017,MANATI,PR,0.000631313,0.000000000,0.000000000,0.000564363
00676,72099,MOCA,PR,0.998867614,1.000000000,1.000000000,0.998928815
00676,72131,MOCA,PR,0.001132386,0.000000000,0.000000000,0.001071185
00677,72117,RINCON,PR,1.000000000,1.000000000,1.000000000,1.000000000
00678,72115,QUEBRADILLAS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00680,72067,MAYAGUEZ,PR,0.001599398,0.001134216,0.001724138,0.001556079
00680,72097,MAYAGUEZ,PR,0.998353561,0.998487713,0.998275862,0.998364122
00680,72023,MAYAGUEZ,PR,0.000000000,0.000378072,0.000000000,0.000039899
00680,72011,MAYAGUEZ,PR,0.000047041,0.000000000,0.000000000,0.000039899
00681,72097,MAYAGUEZ,PR,1.000000000,1.000000000,1.000000000,1.000000000
00682,72097,MAYAGUEZ,PR,1.000000000,1.000000000,1.000000000,1.000000000
00683,72125,SAN GERMAN,PR,0.985099208,0.996621622,0.988142292,0.985891160
00683,72121,SAN GERMAN,PR,0.005881892,0.001126126,0.011857708,0.005686726
00683,72097,SAN GERMAN,PR,0.000156850,0.000000000,0.000000000,0.000143968
00683,72067,SAN GERMAN,PR,0.008077798,0.001126126,0.000000000,0.007486323
00683,72023,SAN GERMAN,PR,0.000784252,0.001126126,0.000000000,0.000791823
00685,72131,SAN SEBASTIAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00687,72101,MOROVIS,PR,0.998782838,1.000000000,1.000000000,0.998840356
00687,72145,MOROVIS,PR,0.001014302,0.000000000,0.000000000,0.000966370
00687,72047,MOROVIS,PR,0.000202860,0.000000000,0.000000000,0.000193274
00688,72013,SABANA HOYOS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00690,72005,SAN ANTONIO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00692,72051,VEGA ALTA,PR,0.000327386,0.000000000,0.000000000,0.000303145
00692,72143,VEGA ALTA,PR,0.991815354,1.000000000,1.000000000,0.992421372
00692,72145,VEGA ALTA,PR,0.006547716,0.000000000,0.000000000,0.006062903
00692,72101,VEGA ALTA,PR,0.001309543,0.000000000,0.000000000,0.001212581
00693,72091,VEGA BAJA,PR,0.002577585,0.000000000,0.000000000,0.002379706
00693,72143,VEGA BAJA,PR,0.001185689,0.000000000,0.000000000,0.001094665
00693,72145,VEGA BAJA,PR,0.996236725,1.000000000,1.000000000,0.996525629
00694,72145,VEGA BAJA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00698,72153,YAUCO,PR,0.999818643,0.996244131,1.000000000,0.999609658
00698,72121,YAUCO,PR,0.000181357,0.002816901,0.000000000,0.000334579
00698,72059,YAUCO,PR,0.000000000,0.000938967,0.000000000,0.000055763
00703,72007,AGUAS BUENAS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00704,72123,AGUIRRE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00705,72009,AIBONITO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00707,72095,MAUNABO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00714,72015,ARROYO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00715,72113,MERCEDITA,PR,0.783854167,0.969798658,1.000000000,0.814774579
00715,72075,MERCEDITA,PR,0.216145833,0.030201342,0.000000000,0.185225421
00716,72113,PONCE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00717,72113,PONCE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00718,72103,NAGUABO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00719,72105,NARANJITO,PR,0.988287694,0.892156863,0.869565217,0.981826582
00719,72019,NARANJITO,PR,0.011712306,0.107843137,0.130434783,0.018173418
00720,72075,OROCOVIS,PR,0.002950820,0.000000000,0.000000000,0.002766252
00720,72107,OROCOVIS,PR,0.997049180,1.000000000,1.000000000,0.997233748
00721,72119,PALMER,PR,1.000000000,1.000000000,1.000000000,1.000000000
00723,72109,PATILLAS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00725,72129,CAGUAS,PR,0.000344270,0.000000000,0.003409091,0.000394945
00725,72007,CAGUAS,PR,0.001342652,0.000000000,0.000000000,0.001184834
00725,72063,CAGUAS,PR,0.000516404,0.000669120,0.000000000,0.000516466
00725,72025,CAGUAS,PR,0.997796674,0.999330880,0.996590909,0.997903755
00726,72025,CAGUAS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00727,72025,CAGUAS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00728,72113,PONCE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00729,72031,CANOVANAS,PR,0.005845966,0.000000000,0.114649682,0.006586864
00729,72063,CANOVANAS,PR,0.001155598,0.000000000,0.000000000,0.001076699
00729,72119,CANOVANAS,PR,0.001427503,0.000000000,0.000000000,0.001330040
00729,72087,CANOVANAS,PR,0.111141323,0.026058632,0.038216561,0.105453164
00729,72029,CANOVANAS,PR,0.880429610,0.973941368,0.847133758,0.885553233
00730,72113,PONCE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00731,72113,PONCE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00732,72113,PONCE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00733,72113,PONCE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00735,72053,CEIBA,PR,0.000720046,0.000000000,0.000000000,0.000687758
00735,72037,CEIBA,PR,0.999279954,1.000000000,1.000000000,0.999312242
00736,72035,CAYEY,PR,1.000000000,1.000000000,1.000000000,1.000000000
00737,72035,CAYEY,PR,1.000000000,1.000000000,1.000000000,1.000000000
00738,72089,FAJARDO,PR,0.003139717,0.000000000,0.000000000,0.002841996
00738,72037,FAJARDO,PR,0.004830335,0.000692521,0.000000000,0.004426955
00738,72053,FAJARDO,PR,0.992029948,0.999307479,1.000000000,0.992731049
00739,72041,CIDRA,PR,0.972259811,1.000000000,1.000000000,0.973760933
00739,72045,CIDRA,PR,0.000902120,0.000000000,0.000000000,0.000853303
00739,72025,CIDRA,PR,0.025033829,0.000000000,0.000000000,0.023679158
00739,72035,CIDRA,PR,0.001804240,0.000000000,0.000000000,0.001706606
00740,72053,PUERTO REAL,PR,1.000000000,1.000000000,1.000000000,1.000000000
00741,72069,PUNTA SANTIAGO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00744,72103,RIO BLANCO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00745,72119,RIO GRANDE,PR,0.996931029,0.995475113,0.980952381,0.996794375
00745,72087,RIO GRANDE,PR,0.000269208,0.004524887,0.019047619,0.000517036
00745,72029,RIO GRANDE,PR,0.002799763,0.000000000,0.000000000,0.002688589
00751,72123,SALINAS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00754,72129,SAN LORENZO,PR,0.998204814,1.000000000,1.000000000,0.998322531
00754,72063,SAN LORENZO,PR,0.001795186,0.000000000,0.000000000,0.001677469
00757,72133,SANTA ISABEL,PR,0.998440285,1.000000000,1.000000000,0.998519615
00757,72043,SANTA ISABEL,PR,0.001559715,0.000000000,0.000000000,0.001480385
00765,72147,VIEQUES,PR,1.000000000,1.000000000,1.000000000,1.000000000
00766,72149,VILLALBA,PR,0.994796936,1.000000000,0.985074627,0.994962560
00766,72075,VILLALBA,PR,0.005203064,0.000000000,0.014925373,0.005037440
00767,72151,YABUCOA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00769,72043,COAMO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00771,72077,LAS PIEDRAS,PR,0.018563952,0.000000000,0.000000000,0.017581907
00771,72085,LAS PIEDRAS,PR,0.981436048,1.000000000,1.000000000,0.982418093
00772,72087,LOIZA,PR,0.981159123,0.993464052,1.000000000,0.981624185
00772,72029,LOIZA,PR,0.018840877,0.006535948,0.000000000,0.018375815
00773,72053,LUQUILLO,PR,0.000295305,0.002506266,0.000000000,0.000373832
00773,72089,LUQUILLO,PR,0.999704695,0.997493734,1.000000000,0.999626168
00775,72049,CULEBRA,PR,0.000000000,0.000000000,1.000000000,1.000000000
00777,72063,JUNCOS,PR,0.000000000,0.001494768,0.000000000,0.000064591
00777,72077,JUNCOS,PR,0.967465753,0.997010463,1.000000000,0.969190027
00777,72129,JUNCOS,PR,0.000616438,0.000000000,0.000000000,0.000581320
00777,72085,JUNCOS,PR,0.031917808,0.001494768,0.000000000,0.030164061
00778,72063,GURABO,PR,0.961800819,1.000000000,1.000000000,0.963359505
00778,72129,GURABO,PR,0.033300260,0.000000000,0.000000000,0.031941470
00778,72025,GURABO,PR,0.004898921,0.000000000,0.000000000,0.004699025
00780,72113,COTO LAUREL,PR,1.000000000,1.000000000,1.000000000,1.000000000
00782,72045,COMERIO,PR,0.995185923,1.000000000,1.000000000,0.995423702
